id,elevation,capture_time,file_name,Y,X,Z,time
216,824.5999756,2019-04-27T01:26:09.000Z,activity_3593740764.gpx,5481674.669,473969.0025,824.5999756,1556328369000
217,824.7999878,2019-04-27T01:26:11.000Z,activity_3593740764.gpx,5481671.673,473967.944,824.7999878,1556328371000
218,825.2000122,2019-04-27T01:26:14.000Z,activity_3593740764.gpx,5481667.525,473966.2972,825.2000122,1556328374000
219,825.5999756,2019-04-27T01:26:18.000Z,activity_3593740764.gpx,5481662.207,473961.8159,825.5999756,1556328378000
220,826.4000244,2019-04-27T01:26:22.000Z,activity_3593740764.gpx,5481656.754,473958.1898,826.4000244,1556328382000
221,827,2019-04-27T01:26:26.000Z,activity_3593740764.gpx,5481650.837,473954.1488,827,1556328386000
222,827.4000244,2019-04-27T01:26:32.000Z,activity_3593740764.gpx,5481642.565,473949.7807,827.4000244,1556328392000
223,827.4000244,2019-04-27T01:26:33.000Z,activity_3593740764.gpx,5481641.079,473948.5352,827.4000244,1556328393000
224,828,2019-04-27T01:26:40.000Z,activity_3593740764.gpx,5481631.406,473940.8761,828,1556328400000
225,828,2019-04-27T01:26:41.000Z,activity_3593740764.gpx,5481629.207,473938.9108,828,1556328401000
226,827.5999756,2019-04-27T01:26:42.000Z,activity_3593740764.gpx,5481626.393,473936.9608,827.5999756,1556328402000
227,827,2019-04-27T01:26:45.000Z,activity_3593740764.gpx,5481618.88,473931.4004,827,1556328405000
228,826.4000244,2019-04-27T01:26:50.000Z,activity_3593740764.gpx,5481606.641,473922.4359,826.4000244,1556328410000
229,826.2000122,2019-04-27T01:26:54.000Z,activity_3593740764.gpx,5481598.429,473918.8876,826.2000122,1556328414000
230,826.2000122,2019-04-27T01:26:55.000Z,activity_3593740764.gpx,5481596.862,473919.2323,826.2000122,1556328415000
231,826.5999756,2019-04-27T01:26:59.000Z,activity_3593740764.gpx,5481595.748,473922.2078,826.5999756,1556328419000
232,826.5999756,2019-04-27T01:27:00.000Z,activity_3593740764.gpx,5481596.664,473923.572,826.5999756,1556328420000
233,826.7999878,2019-04-27T01:27:02.000Z,activity_3593740764.gpx,5481597.311,473926.6834,826.7999878,1556328422000
234,827.2000122,2019-04-27T01:27:04.000Z,activity_3593740764.gpx,5481595.299,473928.5012,827.2000122,1556328424000
235,827.4000244,2019-04-27T01:27:05.000Z,activity_3593740764.gpx,5481593.688,473928.1717,827.4000244,1556328425000
236,827.7999878,2019-04-27T01:27:06.000Z,activity_3593740764.gpx,5481592.331,473927.5885,827.7999878,1556328426000
237,828.2000122,2019-04-27T01:27:07.000Z,activity_3593740764.gpx,5481591.216,473926.7818,828.2000122,1556328427000
238,828.5999756,2019-04-27T01:27:08.000Z,activity_3593740764.gpx,5481590.249,473926.2915,828.5999756,1556328428000
239,829.2000122,2019-04-27T01:27:12.000Z,activity_3593740764.gpx,5481585.356,473924.5076,829.2000122,1556328432000
240,829.4000244,2019-04-27T01:27:14.000Z,activity_3593740764.gpx,5481582.468,473924.4938,829.4000244,1556328434000
